"anio";"cartera_vencida";"n_deudores";"n_deudores_hat";"salario";"salario2";"salario_hat";"salario2_hat";"minimo";"pob_adulta";"pob_adulta_hat";"inflacion";"ipc1989"
1990;0,0206101543615743;1263259;1263259;169325,25;106119,243949783;169325,25;106119,243949783;26000;NA;8881889;25,9166666666667;125,92
1991;0,0178873817778789;1824517;1824517;216256,75;114303,36487482;216256,75;114303,36487482;33000;NA;8850548,33334085;21,9666666666667;153,58
1992;0,0119682785439114;2113912;2113912;260932,75;122485,38885;260932,75;122485,38885;38600;8881889;8881889;15,55;177,46
1993;0,0081;3012658;3012658;127389,888888889;127389,888888889;127389,888888889;127389,888888889;46000;9069933;9069933;12,7333333333333;200,05
1994;0,01;3283891;3283891;149672,666666667;149672,666666667;149672,666666667;149672,666666667;52150;9258167;9258167;11,5083333333333;223,08
1995;0,0091;3587892;3587892;170066,166666667;170066,166666667;170066,166666667;170066,166666667;58900;9444228;9444228;8,24166666666667;241,46
1996;0,0095;4056138;4056138;188839,916666667;188839,916666667;188839,916666667;188839,916666667;65500;9627232;9627232;7,38333333333333;259,29
1997;0,0097;4490780;4490780;205535,083333333;205535,083333333;205535,083333333;205535,083333333;71400;9808796;9808796;6,15;275,24
1998;0,0144663150157267;4267424;4267424;218635,75;218635,75;218635,75;218635,75;80500;9991100;9991100;5,11666666666667;289,32
1999;0,0167;3865140;3865140;228557,583333333;228557,583333333;228557,583333333;228557,583333333;90500;10176469;10176469;3,35;299,01
2000;0,0173;3730837;3730837;240024,75;240024,75;240024,75;240024,75;1e+05;10364839;10364839;3,825;310,45
2001;0,0162;3604562;3604562;249472,333333333;249472,333333333;249472,333333333;249472,333333333;105500;10553214;10553214;3,56666666666667;321,52
2002;0,0182;3704079;3704079;256898,5;256898,5;256898,5;256898,5;111200;10739662;10739662;2,48333333333333;329,51
2003;0,0163;3815827;3815827;265826;265826;265826;265826;115648;10925008;10925008;2,825;338,81
2004;0,012;4037070;4037070;273367,916666667;273367,916666667;273367,916666667;273367,916666667;120000;11115683;11115683;1,06666666666667;342,43
2005;0,0091;4352533;4352533;276700,416666667;276700,416666667;276700,416666667;276700,416666667;127500;11312870;11312870;3,05;352,87
2006;0,0085;4927041;4927041;299503,5;299503,5;299503,5;299503,5;135000;11523200;11523200;3,4;364,87
2007;0,0075;5336946;5336946;321341,25;321341,25;321341,25;321341,25;144000;11748998;11748998;4,39166666666667;380,89
2008;0,01794;5561641;5561641;351548,666666667;351548,666666667;351548,666666667;351548,666666667;159000;11980600;11980600;8,725;414,13
2009;0,024302;NA;5575422,66666667;373220,583333333;373220,583333333;373220,583333333;373220,583333333;165000;12214313;12214313;1,56666666666667;420,61
2010;0,030322;NA;5589204,33333333;380808;380808;380808;380808;172000;12438596;12438596;1,43333333333333;426,64
2011;0,02586;5602986;5602986;413192;413192;413192;413192;182000;12661448;12661448;3,34166666666667;440,9
2012;0,021989;6120919;6120919;465904;465904;465904;465904;193000;12882407;12882407;3,00833333333333;454,16
2013;0,021306;6320479;6320479;488394;488394;488394;488394;210000;13086262;13086262;1,79166666666667;462,3
2014;0,0204866689805448;6240115;6240115;498782;498782;498782;498782;225000;13289627;13289627;4,375;482,53
2015;0,0185712723294544;6069860;6069860;535311;535311;535311;535311;241000;13490482;13490482;4,34166666666667;503,48
2016;0,0185085672486733;6229713;6229713;546209;546209;546209;546209;257500;13700733;13700733;3,79166666666667;522,57
2017;0,0193249585864163;6363539;6363539;581086;581086;581086;581086;270000;13965811;13965811;2,2;534,06
2018;0,0189694859807662;6506183;6506183;606399;606399;606399;606399;288000;14299294;14299294;2,425;547,01
2019;0,0206949025589672;6129021;6129021;620528;620528;620528;620528;301000;14646285;14646285;2,24166666666667;559,28
2020;0,015793444726049;5710645;5710645;635134;635134;635134;635134;326500;14982343;14982343;3,05;576,33
2021;0,0124202093031893;5674761;5674761;681039;681039;681039;681039;337000;15200840;15200840;4,5;602,27
2022;0,0168311322414973;6539255;6539255;757752;757752;757752;757752;4e+05;15355963;15355963;11,6;672,13
2023;0,0212959494876599;6774758;6774758;826535;826535;826535;826535;460000;15492606;15492606;7,675;723,72
2024;0,0235206225793905;7088522;7088522;897019;897019;897019;897019;5e+05;15624293;15624293;4,25833333333333;754,54
2025;0,0242020849717108;6971445;6971445;NA;NA;938839,448252799;966368,529436033;529000;15757554;15757554;4,20833333333333;786,29
