año,monto_bruto,moneda,notas
1958,15360,CLP,
1959,20736,CLP,
1960,20736,CLP,Sin cambio
1961,27.80,CLP (Escudo),
1962,27.80,CLP (Escudo),Sin cambio
1963,27.80,CLP (Escudo),Sin cambio
1964,36.13,CLP (Escudo),
1965,50.00,CLP (Escudo),
1966,50.00,CLP (Escudo),Sin cambio
1967,50.00,CLP (Escudo),Sin cambio
1968,50.00,CLP (Escudo),Sin cambio
1969,50.00,CLP (Escudo),Sin cambio
1970,50.00,CLP (Escudo),Sin cambio
1971,440.00,CLP (Escudo),
1972,2390.40,CLP (Escudo),
1973,6700.00,CLP (Escudo),
1974,20000.00,CLP (Escudo),
1975,47577.00,CLP (Escudo),
1976,48948.00,CLP (Escudo),
1977,428.14,CLP,Rango inferior (428-520)
1978,2661.12,CLP,
1979,3694.67,CLP,
1980,4548.87,CLP,
1981,6222.85,CLP,
1982,6222.85,CLP,Sin cambio
1983,6533.99,CLP,
1984,7514.09,CLP,
1985,9200.00,CLP,
1986,10120.00,CLP,
1987,11335.00,CLP,
1988,14080.00,CLP,
1989,18000.00,CLP,
1990,26000.00,CLP,
1991,33000.00,CLP,
1992,38600.00,CLP,
1993,46000.00,CLP,
1994,52150.00,CLP,
1995,58900.00,CLP,
1996,65500.00,CLP,
1997,71400.00,CLP,
1998,80500.00,CLP,
1999,90500.00,CLP,
2000,100000.00,CLP,
2001,105500.00,CLP,
2002,111200.00,CLP,
2003,115648.00,CLP,
2004,120000.00,CLP,
2005,127500.00,CLP,
2006,135000.00,CLP,
2007,144000.00,CLP,
2008,159000.00,CLP,
2009,165000.00,CLP,
2010,172000.00,CLP,
2011,182000.00,CLP,
2012,193000.00,CLP,
2013,210000.00,CLP,
2014,225000.00,CLP,
2015,241000.00,CLP,
2016,257500.00,CLP,
2017,270000.00,CLP,
2018,288000.00,CLP,
2019,301000.00,CLP,
2020,326500.00,CLP,
2021,337000.00,CLP,
2022,400000.00,CLP,
2023,460000.00,CLP,
2024,500000.00,CLP,
2025,529000.00,CLP,
2026,553553.00,CLP,Estimado
